Wall time,Step,Value
1730864376.3574047,0,0.30852240324020386
1730864387.1886916,1,0.29748719930648804
1730864398.0406284,2,0.2960645854473114
1730864408.8493233,3,0.29585137963294983
1730864420.1332264,4,0.29468482732772827
1730864431.4007692,5,0.2941499650478363
1730864442.5830684,6,0.2937560975551605
1730864453.585558,7,0.2929888367652893
1730864464.5954127,8,0.2925272583961487
1730864475.7688665,9,0.2915732264518738
1730864487.1391132,10,0.2910442054271698
1730864498.5129192,11,0.2905377447605133
1730864509.4795132,12,0.29036766290664673
1730864520.424003,13,0.2892623841762543
1730864531.2852,14,0.2890181541442871
1730864542.165422,15,0.2884513735771179
1730864553.051908,16,0.28756994009017944
1730864563.8936846,17,0.2870338261127472
1730864574.523431,18,0.28674256801605225
1730864585.2193122,19,0.28624263405799866
