Wall time,Step,Value
1730863790.8848374,0,0.32626986503601074
1730863795.1771448,1,0.3010583817958832
1730863800.082187,2,0.2963697016239166
1730863804.8920743,3,0.2964688241481781
1730863809.731637,4,0.29828187823295593
1730863814.47584,5,0.30761095881462097
1730863819.2775412,6,0.29749372601509094
1730863823.823405,7,0.3032706379890442
1730863827.379229,8,0.2985575795173645
1730863830.9148257,9,0.3042462468147278
1730863834.4760416,10,0.2922903597354889
1730863838.007701,11,0.29978325963020325
1730863841.5133772,12,0.2969520092010498
1730863844.9605296,13,0.2976234257221222
1730863848.4085805,14,0.29058510065078735
1730863851.8506696,15,0.29670193791389465
1730863855.3044503,16,0.29065945744514465
1730863858.755613,17,0.2903435230255127
1730863862.2161288,18,0.2849506735801697
1730863865.672989,19,0.2915613651275635
