Wall time,Step,Value
1730864169.9532282,0,0.30894747376441956
1730864177.8641047,1,0.3017788827419281
1730864185.6902275,2,0.30049440264701843
1730864193.5503893,3,0.29938262701034546
1730864201.299147,4,0.29921409487724304
1730864208.943514,5,0.30169934034347534
1730864216.5797246,6,0.3021713197231293
1730864224.1980503,7,0.29693493247032166
1730864231.8747816,8,0.2978253662586212
1730864239.756696,9,0.29329749941825867
1730864247.616866,10,0.2934061586856842
1730864255.4816554,11,0.2992384135723114
1730864263.3189285,12,0.2975700795650482
1730864271.1375902,13,0.29472124576568604
1730864278.9547114,14,0.29659804701805115
1730864286.8048275,15,0.2928117513656616
1730864294.6311154,16,0.2873833477497101
1730864302.419447,17,0.2917220890522003
1730864310.3134918,18,0.2883211374282837
1730864318.1673076,19,0.2929956316947937
