Wall time,Step,Value
1730816669.9091916,0,0.2990894317626953
1730816671.389878,1,0.3079702854156494
1730816672.9287927,2,0.31302276253700256
1730816674.5695655,3,0.2775575816631317
1730816676.191699,4,0.2934950292110443
1730816677.7246258,5,0.3058982789516449
1730816679.2554727,6,0.2886827290058136
1730816680.76254,7,0.2873377501964569
1730816682.239639,8,0.28869113326072693
1730816683.7296193,9,0.2916129529476166
1730816685.238525,10,0.29079246520996094
1730816686.7253873,11,0.2933267652988434
1730816688.2176301,12,0.286186158657074
1730816689.716771,13,0.2798042297363281
1730816691.2197285,14,0.29475462436676025
1730816692.7913947,15,0.29587623476982117
1730816694.2943575,16,0.28561243414878845
1730816695.7960896,17,0.2870318293571472
1730816697.2948487,18,0.28401708602905273
1730816698.825394,19,0.293045312166214
