Wall time,Step,Value
1730816568.276909,0,0.29738977551460266
1730816568.6475184,1,0.2960902154445648
1730816569.019702,2,0.29506444931030273
1730816569.4092793,3,0.2940926253795624
1730816569.7924411,4,0.2930765748023987
1730816570.196629,5,0.2920383810997009
1730816570.5723808,6,0.29076558351516724
1730816570.950593,7,0.2893870174884796
1730816571.3189912,8,0.28801003098487854
1730816571.6836727,9,0.2861402630805969
1730816572.0498087,10,0.28455206751823425
1730816572.4216106,11,0.282929390668869
1730816572.8003986,12,0.28095999360084534
1730816573.1703644,13,0.27939653396606445
1730816573.53874,14,0.27811989188194275
1730816573.9092782,15,0.27647218108177185
1730816574.292874,16,0.2759169042110443
1730816574.6682951,17,0.27460238337516785
1730816575.0397723,18,0.27416911721229553
1730816575.406862,19,0.27381014823913574
