Wall time,Step,Value
1730816744.53376,0,0.3268991708755493
1730816746.0997422,1,0.3021884262561798
1730816747.673266,2,0.30488935112953186
1730816749.2222989,3,0.31572437286376953
1730816750.7995126,4,0.27833232283592224
1730816752.345399,5,0.2940295338630676
1730816753.9134688,6,0.2926435172557831
1730816755.4842472,7,0.305171936750412
1730816757.0377522,8,0.2988176643848419
1730816758.5797372,9,0.2961709797382355
1730816760.1699238,10,0.2947966158390045
1730816761.7760842,11,0.299014687538147
1730816763.3245218,12,0.29110267758369446
1730816764.9080667,13,0.2767612338066101
1730816766.4730139,14,0.2847239375114441
1730816768.0421329,15,0.2729071378707886
1730816769.6124887,16,0.2793083190917969
1730816771.1758592,17,0.2628123164176941
1730816772.7458763,18,0.2844475507736206
1730816774.3156495,19,0.29003047943115234
